# {2,3}, A = 2, delta = 0.01232, normalised by ||phi||^2; lane A2 functions (arb, midpoints)
# mixed_arch is the archimedean contribution to G (= -W_R part), mixed_pole the pole contribution
alpha,beta,G,G_prime_free,mixed,mixed_pole,mixed_arch
"(2,0)","(1,1)",0.01042366993,0.01042366993,0.01042366993,0.03725021373,-0.0268265438
"(2,0)","(1,2)",0.0382645986,0.0382645986,0.0382645986,0.04731412603,-0.009049527424
"(2,0)","(2,0)",2.473007407,2.473007407,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,0)","(2,1)",-0.603993489,0.0302906116,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,0)","(2,2)",-0.3115337343,0.05467036191,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,1)","(0,0)",0.06317886456,0.06317886456,0.06317886456,0.06848368469,-0.005304820128
"(2,1)","(0,1)",-0.3106843789,0.03588921139,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,1)","(0,2)",0.0007343885202,0.0007343885202,0.0007343885202,0.03687583022,-0.0361414417
"(2,1)","(1,0)",0.04448736538,0.04448736538,0.04448736538,0.05215029922,-0.007662933839
"(2,1)","(1,1)",-0.468623844,0.02150522776,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,1)","(1,2)",0.01042366993,0.01042366993,0.01042366993,0.03725021373,-0.0268265438
"(2,1)","(2,0)",-0.603993489,0.0302906116,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,1)","(2,1)",2.473007407,2.473007407,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,1)","(2,2)",-0.603993489,0.0302906116,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,2)","(0,0)",0.1094904708,0.1094904708,0.1094904708,0.1125342869,-0.003043816177
"(2,2)","(0,1)",0.06317886456,0.06317886456,0.06317886456,0.06848368469,-0.005304820128
"(2,2)","(0,2)",-0.3106843789,0.03588921139,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,2)","(1,0)",0.07740979672,0.07740979672,0.07740979672,0.0817243995,-0.004314602785
"(2,2)","(1,1)",0.04448736538,0.04448736538,0.04448736538,0.05215029922,-0.007662933839
"(2,2)","(1,2)",-0.468623844,0.02150522776,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,2)","(2,0)",-0.3115337343,0.05467036191,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,2)","(2,1)",-0.603993489,0.0302906116,np.float64(0.0),np.float64(0.0),np.float64(0.0)
"(2,2)","(2,2)",2.473007407,2.473007407,np.float64(0.0),np.float64(0.0),np.float64(0.0)
